business unit,NPS score 2022,NPS score 2023,Common Respondents 2022,Common Respondents 2023,change
baltic sea,64.91228070175438,73.68421052631578,57,57,8.771929824561397
channel,69.33333333333334,72.0,75,75,2.666666666666657
cold chain,72.41379310344827,96.55172413793103,29,29,24.13793103448276
cold chain nordic & continent,51.85185185185185,44.44444444444444,27,27,-7.407407407407405
continent,53.84615384615385,65.38461538461539,26,26,11.53846153846154
industries and ce,28.57142857142857,71.42857142857143,7,7,42.85714285714286
mediterranean,80.64516129032258,77.41935483870968,31,31,-3.225806451612897
nordic,28.57142857142857,34.285714285714285,70,70,5.714285714285715
north sea north,54.83870967741935,64.51612903225806,31,31,9.677419354838712
north sea south,30.434782608695656,41.30434782608695,46,46,10.869565217391298
uk & ireland,22.727272727272727,36.36363636363637,22,22,13.63636363636364
